movieCd,title,openDt,ott_release_dt,ott_release_platform,budget,genre,watch_grade_nm,show_tm,is_original_ip,is_followup,nation_nm,distributor_nm,director_nm,director_nm_star_meter,actor1_nm,actor1_nm_star_meter,actor2_nm,actor2_nm_star_meter,actor3_nm,actor3_nm_star_meter,Unnamed: 21,director_score,actor1_score,actor2_score,actor3_score,Anchor_score,Support_score,Star_index,open_year,gamma,genre_en,Genre,TFS,ONS,TFS_norm,ONS_norm,cannibalization_coef
20190808,교섭,2023-01-18,20230222,Netflix,15000000000,드라마,12,108,0,0,한국,(주)영화사수박,임순례,89378,황정민,17225,현빈,4409,강기영,15189,,2.747739372,3.462810774,4.054629906,3.517440822,4.054629906,3.242663656,17.20243094,2023,0.7713988809993032,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.3921756988330451
20231042,빅토리,2024-08-14,20241218,Disney+,8300000000,드라마,12,120,0,0,한국,(주)안나푸르나필름,박범수,382884,이혜리,10485,박세완,88735,이정하,43554,,2.115902786,3.67840157,2.750875051,3.059941958,3.67840157,2.642239931,13.39762108,2024,0.8926335113265869,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.429571732903799
20239670,베테랑2,2024-09-13,20250128,Netflix,13000000000,액션,15,118,0,1,한국,(주)외유내강,류승완,68145,황정민,22338,정해인,8187,장윤주,110714,,2.865536008,3.349925718,3.785845214,2.654767463,3.785845214,2.956743063,14.97961679,2024,0.8926335113265869,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.09492190013202012
20228796,하얼빈,2024-12-24,20250425,Netflix,30000000000,드라마,15,114,0,0,한국,(주)하이브미디어코프,우민호,47146,현빈,5832,박정민,18586,조우진,12997,,3.025525152,3.933152489,3.429784072,3.585126885,3.933152489,3.346812036,17.09667458,2024,0.8926335113265869,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.429571732903799
20233217,더 킬러스,2024-10-23,20241031,Netflix,200000000,드라마,19,119,1,0,한국,(주)빅인스퀘어,이명세,256857,심은경,30420,연우진,26862,홍사빈,86558,,2.289278598,3.215810795,3.26983166,2.761662791,3.26983166,2.755584061,12.28012766,2024,0.8926335113265869,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.429571732903799
20247017,대가족,2024-12-11,20250411,Netflix,9200000000,드라마,12,107,1,0,한국,게니우스 유한회사,양우석,188304,김윤석,22682,이승기,13623,김성령,16644,,2.424110459,3.343288658,3.564697248,3.477712297,3.564697248,3.081703805,14.55003832,2024,0.8926335113265869,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.429571732903799
20212932,탈주,2024-07-03,20241104,Netflix,8000000000,액션,12,94,0,0,한국,더램프(주),이종필,53280,이제훈,8062,구교환,17390,홍사빈,46656,,2.972405788,3.792527211,3.458670422,3.030062502,3.792527211,3.153712904,15.75306921,2024,0.8926335113265869,Action,Action,8.4,4.2,0.8400000000000001,0.42000000000000004,0.09492190013202012
20208245,핸섬가이즈,2024-06-26,20241008,Disney+,4900000000,코미디,15,101,1,0,한국,(주)하이브미디어코프,남동협,268288,이성민,26203,이희준,25428,공승연,28005,,2.270368756,3.280618987,3.293657802,3.251734427,3.293657802,2.934240724,12.95804265,2024,0.8926335113265869,Comedy,Comedy,4.4,5.8,0.44000000000000006,0.58,0.36966063924652914
20200142,소방관,2024-12-04,20250123,Wavve (with IPTV),9600000000,드라마,12,106,0,0,한국,주식회사 에스크로드,곽경택,224761,주원,30858,곽도원,42980,유재명,44205,,2.347249049,3.20960223,3.065703593,3.053498609,3.20960223,2.822150417,12.2675825,2024,0.8926335113265869,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.429571732903799
20204271,행복의 나라,2024-08-14,20240919,Tiving (with IPTV),12000000000,드라마,12,124,0,0,한국,(주)파파스필름,추창민,157376,조정석,11163,이선균,6563,유재명,32383,,2.502031502,3.65118908,3.8818676,3.188652924,3.8818676,3.113957835,15.96983963,2024,0.8926335113265869,Drama,Drama,4.7,9.4,0.47000000000000003,0.9400000000000001,0.429571732903799
20234045,설계자,2024-05-29,20240618,Disney+,8000000000,범죄,15,99,1,0,한국,영화사 집,이요섭,119069,강동원,18849,이무생,40708,이미숙,15748,,2.623171298,3.42368169,3.089290238,3.501744598,3.501744598,3.045381076,14.16589133,2024,0.8926335113265869,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.4176229373766168
20249733,사랑의 하츄핑,2024-08-07,20241230,Netflix,3000000000,애니메이션,0,86,1,0,한국,(주)에스에이엠지엔터테인먼트,김수훈,1386720,이지현,1312691,조경이,841433,최낙윤,1123320,,1.556981225,1.580807497,1.773950464,1.648466513,1.773950464,1.595418412,4.604143695,2024,0.8926335113265869,Animation,Animation,8.7,6.8,0.8699999999999999,0.6799999999999999,0.09124534766211806
20190300,보고타: 마지막 기회의 땅,2024-12-31,20250203,Netflix,13000000000,범죄,15,107,0,0,한국,(주)영화사수박,김성제,21092,송중기,2592,이희준,10417,권해효,21257,,3.374852242,4.285335007,3.68122734,3.371468032,4.285335007,3.475849205,19.18051328,2024,0.8926335113265869,Thriller,Thriller,4.9,9.6,0.49000000000000005,0.96,0.4176229373766168
