rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year
3,3,1,OLD,20234114,괴물,2023-11-29,109870000,4.8,55195000,101.0,167893000,12230,6155,101.3,18584,56,56,20231123,2023
4,4,-1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,55862894,2.4,-4534189,-7.5,18699566101,6099,-577,-8.6,1915849,472,745,20231123,2023
5,5,1,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,34304765,1.5,-3471518,-9.2,1490980134,3681,-675,-15.5,151067,368,472,20231123,2023
6,6,-1,OLD,20235034,더 마블스,2023-11-08,32275108,1.4,-14640939,-31.2,6570001036,3646,-1942,-34.8,660937,448,605,20231123,2023
7,7,1,OLD,20230966,사채소년,2023-11-22,16999500,0.7,-6802200,-28.6,66808700,2315,-953,-29.2,8373,201,423,20231123,2023
8,8,67,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,17581394,0.8,17366394,8077.4,79494216,2289,2265,9437.5,9195,239,251,20231123,2023
9,9,2,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,15807390,0.7,209420,1.3,11712441946,2116,34,1.6,1146358,99,160,20231123,2023
10,10,3,OLD,20228819,30일,2023-10-03,13873885,0.6,-262561,-1.9,21153548900,1613,-87,-5.1,2154389,167,209,20231123,2023
1,1,27,OLD,20212866,서울의 봄,2023-11-22,1884428072,73.1,1881728072,69693.6,2026664072,203813,203513,67837.7,219445,2144,8392,20231122,2023
2,2,-1,OLD,20235030,프레디의 피자가게,2023-11-15,137988801,5.4,-5990092,-4.2,3770157654,14622,-746,-4.9,388900,588,1334,20231122,2023
3,3,1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,60397083,2.3,-40728697,-40.3,18643703207,6676,-4180,-38.5,1909750,485,774,20231122,2023
4,4,0,NEW,20234114,괴물,2023-11-29,54675000,2.1,54675000,100.0,58023000,6075,6075,100.0,6354,28,28,20231122,2023
5,5,-2,OLD,20235034,더 마블스,2023-11-08,46916047,1.8,-66129619,-58.5,6537725928,5588,-5722,-50.6,657291,458,655,20231122,2023
6,6,-4,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,37776283,1.5,-71347189,-65.4,1456675369,4356,-7041,-61.8,147386,386,506,20231122,2023
7,7,0,OLD,20202247,싱글 인 서울,2023-11-29,32067000,1.2,-3276000,-9.3,113931000,3563,-165,-4.4,12460,17,17,20231122,2023
8,8,0,NEW,20230966,사채소년,2023-11-22,23801700,0.9,23801700,100.0,49809200,3268,3268,100.0,6058,211,440,20231122,2023
9,9,14,OLD,20235631,비투비 타임 : 비투게더 더 무비,2023-11-15,60239000,2.3,49001500,436.1,379083500,3012,2450,435.9,18955,25,29,20231122,2023
10,10,0,NEW,20070216,시간을 달리는 소녀,2007-06-14,18647270,0.7,18647270,100.0,696560250,2340,2340,100.0,100655,38,42,20231122,2023
1,1,0,OLD,20235030,프레디의 피자가게,2023-11-15,143978893,16.8,-28705609,-16.6,3632168853,15368,-2918,-16.0,374278,787,2196,20231121,2023
