movieCd,title,budget,ons,year,platform,platform_mau,platform_beta,holdback_days,digital_fee,digital_fee_billion,fee_ratio
20227626,화란,4000000000,9.4,2023,Tving,4110000,0.15,30,124104208.12257868,1.2410420812257867,3.102605203064467
20227626,화란,4000000000,9.4,2023,Tving,4110000,0.15,60,43953031.62747875,0.4395303162747875,1.0988257906869687
20227626,화란,4000000000,9.4,2023,Tving,4110000,0.15,90,15566506.716178605,0.15566506716178605,0.38916266790446513
20227626,화란,4000000000,9.4,2023,Wavve,2930000,0.13,0,348420095.68203783,3.4842009568203784,8.710502392050946
20227626,화란,4000000000,9.4,2023,Wavve,2930000,0.13,30,120470983.51509102,1.2047098351509102,3.0117745878772753
20227626,화란,4000000000,9.4,2023,Wavve,2930000,0.13,60,41654479.89067164,0.4165447989067164,1.0413619972667911
20227626,화란,4000000000,9.4,2023,Wavve,2930000,0.13,90,14402602.5548718,0.144026025548718,0.360065063871795
20225824,치악산,2000000000,6.8,2023,Netflix,11560000,0.02,0,207660962.4989365,2.076609624989365,10.383048124946825
20225824,치악산,2000000000,6.8,2023,Netflix,11560000,0.02,30,58201245.90668997,0.5820124590668997,2.9100622953344986
20225824,치악산,2000000000,6.8,2023,Netflix,11560000,0.02,60,16312093.444661481,0.16312093444661482,0.8156046722330741
20225824,치악산,2000000000,6.8,2023,Netflix,11560000,0.02,90,4571798.909149864,0.045717989091498636,0.2285899454574932
20225824,치악산,2000000000,6.8,2023,Tving,4110000,0.15,0,175208101.733116,1.75208101733116,8.7604050866558
20225824,치악산,2000000000,6.8,2023,Tving,4110000,0.15,30,57395988.84887053,0.5739598884887053,2.8697994424435267
20225824,치악산,2000000000,6.8,2023,Tving,4110000,0.15,60,18802210.07677875,0.1880221007677875,0.9401105038389375
20225824,치악산,2000000000,6.8,2023,Tving,4110000,0.15,90,6159369.511032951,0.06159369511032951,0.3079684755516475
20225824,치악산,2000000000,6.8,2023,Wavve,2930000,0.13,0,174210047.84101892,1.7421004784101892,8.710502392050946
20225824,치악산,2000000000,6.8,2023,Wavve,2930000,0.13,30,55715687.09108619,0.5571568709108619,2.7857843545543095
20225824,치악산,2000000000,6.8,2023,Wavve,2930000,0.13,60,17818936.545294452,0.17818936545294453,0.8909468272647226
20225824,치악산,2000000000,6.8,2023,Wavve,2930000,0.13,90,5698834.855722861,0.05698834855722861,0.2849417427861431
20224667,잠,5000000000,9.4,2023,Netflix,11560000,0.02,0,519152406.2473413,5.1915240624734125,10.383048124946825
20224667,잠,5000000000,9.4,2023,Netflix,11560000,0.02,30,157306714.2813799,1.573067142813799,3.1461342856275984
20224667,잠,5000000000,9.4,2023,Netflix,11560000,0.02,60,47665005.613427065,0.47665005613427064,0.9533001122685413
20224667,잠,5000000000,9.4,2023,Netflix,11560000,0.02,90,14442821.277571872,0.1444282127757187,0.2888564255514375
20224667,잠,5000000000,9.4,2023,Tving,4110000,0.15,0,438020254.33279,4.380202543327901,8.760405086655801
20224667,잠,5000000000,9.4,2023,Tving,4110000,0.15,30,155130260.15322337,1.5513026015322338,3.102605203064467
20224667,잠,5000000000,9.4,2023,Tving,4110000,0.15,60,54941289.534348436,0.5494128953434844,1.0988257906869687
20224667,잠,5000000000,9.4,2023,Tving,4110000,0.15,90,19458133.395223256,0.19458133395223257,0.38916266790446513
20224667,잠,5000000000,9.4,2023,Wavve,2930000,0.13,0,435525119.6025472,4.355251196025472,8.710502392050945
20224667,잠,5000000000,9.4,2023,Wavve,2930000,0.13,30,150588729.39386377,1.5058872939386376,3.0117745878772753
20224667,잠,5000000000,9.4,2023,Wavve,2930000,0.13,60,52068099.86333954,0.5206809986333955,1.041361997266791
20224667,잠,5000000000,9.4,2023,Wavve,2930000,0.13,90,18003253.193589747,0.18003253193589747,0.36006506387179493
20224517,용감한 시민,8000000000,4.2,2023,Netflix,11560000,0.02,0,830643849.995746,8.30643849995746,10.383048124946825
20224517,용감한 시민,8000000000,4.2,2023,Netflix,11560000,0.02,30,215336328.17680404,2.15336328176804,2.6917041022100503
