holdback,theater_revenue,digital_fee,total_profit,theater_revenue_억,digital_fee_억,total_profit_억
61,1270520421.3292913,8010332.521816377,1278530753.8511078,12.705204213292914,0.08010332521816377,12.785307538511079
62,1271051987.6543715,7891074.207432023,1278943061.8618035,12.710519876543716,0.07891074207432024,12.789430618618034
63,1271567843.82033,7773591.418035061,1279341435.238365,12.7156784382033,0.07773591418035061,12.79341435238365
64,1272068454.1325386,7657857.719502241,1279726311.8520408,12.720684541325385,0.07657857719502241,12.797263118520407
65,1272554269.1740692,7543847.071263139,1280098116.2453322,12.725542691740692,0.07543847071263139,12.800981162453322
66,1273025726.2112534,7431533.8204409145,1280457260.0316944,12.730257262112534,0.07431533820440915,12.804572600316945
67,1273483249.5872488,7320892.6960803075,1280804142.283329,12.734832495872489,0.07320892696080307,12.80804142283329
68,1273927251.1039774,7211898.803461566,1281139149.907439,12.739272511039774,0.07211898803461565,12.81139149907439
69,1274358130.3927755,7104527.61849903,1281462658.0112746,12.743581303927755,0.0710452761849903,12.814626580112746
70,1274776275.2740884,6998754.982223107,1281775030.2563114,12.747762752740885,0.06998754982223107,12.817750302563114
71,1275182062.1065345,6894557.095344404,1282076619.2018788,12.751820621065345,0.06894557095344404,12.820766192018787
72,1275575856.125654,6791910.512898782,1282367766.6385527,12.75575856125654,0.06791910512898783,12.823677666385526
73,1275958011.7726471,6690792.138972153,1282648803.9116192,12.759580117726472,0.06690792138972153,12.826488039116192
74,1276328873.0133922,6591179.221503782,1282920052.234896,12.763288730133922,0.06591179221503782,12.829200522348959
75,1276688773.6480393,6493049.347166995,1283181822.9952064,12.766887736480394,0.06493049347166995,12.831818229952063
76,1277038037.611454,6396380.436326079,1283434418.04778,12.77038037611454,0.0639638043632608,12.8343441804778
77,1277376979.264779,6301150.738068267,1283678130.0028474,12.77376979264779,0.06301150738068267,12.836781300028475
78,1277705903.678382,6207338.8253097,1283913242.5036917,12.77705903678382,0.062073388253097,12.839132425036917
79,1278025106.9064379,6114923.589974235,1284140030.496412,12.780251069064379,0.061149235899742346,12.84140030496412
80,1278334876.253399,6023884.238244043,1284358760.491643,12.783348762533988,0.06023884238244043,12.84358760491643
81,1278635490.5325878,5934200.2858809065,1284569690.8184686,12.786354905325878,0.05934200285880906,12.845696908184685
82,1278927220.3171473,5845851.553617189,1284773071.8707645,12.789272203171473,0.05845851553617189,12.847730718707645
83,1279210328.1835763,5758818.162615405,1284969146.3461916,12.792103281835763,0.057588181626154054,12.849691463461916
84,1279485068.9480646,5673080.529995408,1285158149.47806,12.794850689480645,0.05673080529995408,12.8515814947806
85,1279751689.8958461,5588619.364428147,1285340309.2602742,12.797516898958461,0.05588619364428147,12.853403092602742
86,1280010431.003771,5505415.661795047,1285515846.6655662,12.80010431003771,0.05505415661795047,12.855158466655663
87,1280261525.1563022,5423450.700911998,1285684975.8572142,12.802615251563022,0.05423450700911998,12.856849758572142
88,1280505198.3551266,5342706.039317008,1285847904.3944435,12.805051983551266,0.05342706039317008,12.858479043944435
89,1280741669.9225707,5263163.509120574,1286004833.4316912,12.807416699225707,0.05263163509120574,12.860048334316911
90,1280971152.6990082,5184805.212917831,1286155957.911926,12.809711526990082,0.051848052129178306,12.86155957911926
91,1281193853.2344284,5107613.519761554,1286301466.75419,12.811938532344284,0.05107613519761554,12.863014667541899
92,1281409971.9743457,5031571.06119513,1286441543.0355408,12.814099719743457,0.0503157106119513,12.864415430355407
93,1281619703.4402146,4956660.727344575,1286576364.1675591,12.816197034402146,0.04956660727344575,12.865763641675592
94,1281823236.404512,4882865.6630687425,1286706102.0675807,12.81823236404512,0.048828656630687424,12.867061020675807
95,1282020754.060644,4810169.264166842,1286830923.3248107,12.82020754060644,0.04810169264166842,12.868309233248107
96,1282212434.187834,4738555.173642435,1286950989.3614764,12.82212434187834,0.04738555173642435,12.869509893614763
97,1282398449.3111358,4668007.278023028,1287066456.5891588,12.823984493111357,0.04668007278023028,12.870664565891587
